ID,Lat,Long,Satelite,Data,time,interval,temperature_2m,relative_humidity_2m,apparent_temperature,is_day,precipitation,rain,surface_pressure,wind_speed_10m,wind_direction_10m
0,-11.8769,-40.941101,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,20.2,92,21.8,0,0.0,0.0,930.1,12.1,102
1,-10.4526,-37.192799,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,23.4,89,26.9,0,0.0,0.0,990.0,7.2,108
2,-10.4542,-37.2005,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,23.4,89,26.9,0,0.0,0.0,989.7,7.2,108
3,-9.8291,-37.064602,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.1,81,26.3,0,0.0,0.0,989.7,13.9,107
4,-13.2229,-43.934101,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,23.5,71,25.8,0,0.0,0.0,960.1,4.1,165
5,-13.2132,-43.935902,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,23.4,71,25.6,0,0.0,0.0,958.0,4.1,165
6,-10.7469,-37.177299,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,25.0,84,29.0,0,0.0,0.0,1010.9,6.2,97
7,-10.7486,-37.185101,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.6,84,28.5,0,0.0,0.0,1005.8,6.2,97
8,-10.5842,-36.757099,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,25.4,80,28.3,0,0.0,0.0,1012.5,12.4,98
9,-10.5859,-36.764599,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,25.4,80,28.3,0,0.0,0.0,1012.3,12.4,98
10,-10.5875,-36.772099,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,25.1,80,27.9,0,0.0,0.0,1007.4,12.4,98
11,-10.5517,-36.701599,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.8,84,28.5,0,0.0,0.0,1010.9,8.0,100
12,-10.5763,-37.0527,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.4,82,27.6,0,0.0,0.0,998.0,8.4,100
13,-10.5779,-37.060398,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.8,82,28.2,0,0.0,0.0,1004.8,8.4,100
14,-10.2121,-36.651901,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,25.0,84,28.8,0,0.0,0.0,1013.2,7.9,106
15,-10.2137,-36.659302,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,25.0,84,28.8,0,0.0,0.0,1012.9,7.9,106
16,-10.0393,-36.5667,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.2,84,27.3,0,0.0,0.0,999.6,10.1,94
17,-9.6962,-35.847698,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.5,83,28.1,0,0.0,0.0,1003.8,6.1,93
18,-9.6978,-35.854698,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.5,83,28.1,0,0.0,0.0,1003.9,6.1,93
19,-9.6993,-35.861698,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.5,83,28.1,0,0.0,0.0,1003.4,6.1,93
20,-9.8308,-37.072201,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,24.2,81,26.4,0,0.0,0.0,990.2,13.9,107
21,-9.3282,-35.951801,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,23.4,90,27.9,0,0.0,0.0,996.3,1.8,79
22,-9.3297,-35.958801,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,23.2,90,27.6,0,0.0,0.0,993.0,1.8,79
23,-8.9859,-36.079498,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,22.8,87,26.4,0,0.0,0.0,973.3,3.3,103
24,-8.9875,-36.086498,METOP-B,2024-12-05 23:39:00,2024-12-06T02:00,900,22.8,87,26.4,0,0.0,0.0,974.3,3.3,103
25,9.6282,-63.5544,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,22.8,92,25.6,0,0.0,0.0,998.1,12.5,49
26,-16.1006,-60.4523,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,24.5,97,30.1,0,0.0,0.0,980.1,3.3,354
27,-20.7924,-60.2463,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,26.6,74,30.1,0,0.0,0.0,988.4,8.7,38
28,-20.8127,-60.2439,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,27.0,71,30.1,0,0.0,0.0,988.2,10.0,38
29,-22.0384,-62.5641,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,26.5,66,28.4,0,0.0,0.0,971.9,12.5,33
30,-22.0589,-62.5619,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,26.5,66,28.5,0,0.0,0.0,972.2,12.0,33
31,-22.0592,-62.5415,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,26.5,66,28.5,0,0.0,0.0,972.3,12.0,33
32,-23.3784,-57.9862,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,26.2,75,29.8,0,0.0,0.0,995.0,7.4,29
33,-23.3993,-57.9829,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,26.3,75,29.9,0,0.0,0.0,995.6,7.4,29
34,-23.7913,-59.2425,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,26.4,71,29.2,0,0.0,0.0,991.8,9.2,31
35,-25.6593,-61.0345,GOES-16,2024-12-06 00:30:00,2024-12-06T02:00,900,27.0,68,29.8,0,0.0,0.0,987.4,9.7,31
